validation_mode,level,universe,ticker,window,window_weeks,start_date,end_date,strategy,final_value,total_contributed,total_invested,cash_remaining,return_on_contributed_pct,return_on_invested_pct,cagr_on_contributed_pct,max_drawdown_pct,volatility_pct,sharpe_ratio,calmar_ratio,buy_actions,average_buy_amount
true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_052_104,52,2022-06-13,2023-06-05,fixed_weekly_dca,5121.86,5200.0,5200.0,-0.0,-1.5,-1.5,-1.5,2.1,118.68,3.9,-0.715,52,99.9
true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_052_104,52,2022-06-13,2023-06-05,simple_dip_buy,5125.27,5200.0,5158.62,41.38,-1.44,-0.65,-1.44,2.05,118.64,3.902,-0.7,52,99.11
true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_052_104,52,2022-06-13,2023-06-05,risk_adjusted_v2,5122.21,5200.0,5200.0,-0.0,-1.5,-1.5,-1.5,2.1,118.67,3.901,-0.712,52,99.9
true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_052_104,52,2022-06-13,2023-06-05,hybrid_70_30,5122.79,5200.0,5190.03,9.97,-1.48,-1.3,-1.48,2.09,118.67,3.901,-0.712,52,99.71
true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_052_104,52,2022-06-13,2023-06-05,hybrid_80_20,5122.44,5200.0,5194.51,5.49,-1.49,-1.39,-1.49,2.09,118.67,3.901,-0.713,52,99.79
true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_052_104,52,2022-06-13,2023-06-05,trend_aware_hybrid,5122.37,5200.0,5195.87,4.13,-1.49,-1.41,-1.49,2.09,118.67,3.901,-0.713,52,99.82
true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_052_104,52,2022-06-13,2023-06-05,fixed_weekly_dca,6479.33,5200.0,5200.0,-0.0,24.6,24.6,24.6,2.59,120.87,4.061,9.488,52,99.9
true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_052_104,52,2022-06-13,2023-06-05,simple_dip_buy,6466.71,5200.0,5036.12,163.88,24.36,28.41,24.36,2.53,120.88,4.059,9.631,52,96.75
true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_052_104,52,2022-06-13,2023-06-05,risk_adjusted_v2,6478.27,5200.0,5145.24,54.76,24.58,25.91,24.58,2.6,120.95,4.058,9.458,52,98.85
true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_052_104,52,2022-06-13,2023-06-05,hybrid_70_30,6475.9,5200.0,5153.01,46.99,24.54,25.67,24.54,2.57,120.87,4.06,9.529,52,99.0
true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_052_104,52,2022-06-13,2023-06-05,hybrid_80_20,6477.22,5200.0,5169.72,30.28,24.56,25.29,24.56,2.58,120.87,4.061,9.515,52,99.32
true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_052_104,52,2022-06-13,2023-06-05,trend_aware_hybrid,6481.17,5200.0,5200.0,-0.0,24.64,24.64,24.64,2.58,120.87,4.061,9.544,52,99.9
true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_052_104,52,2022-06-13,2023-06-05,fixed_weekly_dca,11106.42,5200.0,5200.0,-0.0,113.59,113.59,113.59,6.66,124.54,4.46,17.067,52,99.9
