ticker,date,close,weekly_return,momentum_4w,momentum_12w,volatility_12w,drawdown_from_52w_high,sma_10,sma_20,rsi_14,macd,macd_signal,macd_histogram
BYDDY,2023-09-11,10.476667,0.01240142,0.11751115,-0.0290392,0.05900151,0.10874802,10.7145,10.65100005,50.93779289,0.13920337,0.25642022,-0.11721685
BYDDY,2023-09-18,10.463333,-0.00127273,0.08898526,-0.02135626,0.05894489,0.10988235,10.6085,10.67083335,50.82638055,0.12484748,0.23010567,-0.10525819
BYDDY,2023-09-25,10.266667,-0.01879573,-0.03795096,-0.07326608,0.05799147,0.12661276,10.502,10.67233335,49.11988919,0.09648877,0.20338229,-0.10689352
BYDDY,2023-10-02,10.038333,-0.02224032,-0.02995652,-0.12886897,0.05637155,0.14603718,10.3303333,10.65375,47.14092038,0.05495614,0.17369706,-0.11874092
BYDDY,2023-10-09,10.266667,0.02274621,-0.02004454,-0.09398441,0.05708959,0.12661276,10.219,10.67108335,49.33898347,0.04000473,0.14695859,-0.10695387
BYDDY,2023-10-16,10.331667,0.00633117,-0.01258356,-0.1210832,0.05559679,0.1210832,10.1846667,10.66058335,49.97668939,0.03301995,0.12417086,-0.09115092
BYDDY,2023-10-23,10.325,-0.0006453,0.00568179,-0.0927065,0.05517052,0.12165036,10.2796667,10.6409167,49.90729691,0.02663941,0.10466457,-0.07802516
BYDDY,2023-10-30,10.371667,0.00451981,0.03320611,-0.02841527,0.05238118,0.11768039,10.3560001,10.5884167,50.42617039,0.02505955,0.08874357,-0.06368402
BYDDY,2023-11-06,10.306667,-0.00626707,0.0038961,0.09937781,0.03635449,0.12320995,10.3195001,10.56425005,49.65467155,0.01835101,0.07466506,-0.05631405
BYDDY,2023-11-13,10.523333,0.02102193,0.01855131,0.09522984,0.03621291,0.10477814,10.3370001,10.55583335,52.2757527,0.03016979,0.065766,-0.03559621
BYDDY,2023-11-20,9.9,-0.05923342,-0.04116223,-0.07230988,0.02347269,0.15780519,10.2793334,10.4969167,45.01484257,-0.01063886,0.05048503,-0.06112389
BYDDY,2023-11-27,8.818333,-0.10925929,-0.14976705,-0.1478499,0.03767886,0.2498228,10.1148334,10.3616667,35.73835666,-0.12877704,0.01463262,-0.14340965
BYDDY,2023-12-04,8.966667,0.01682109,-0.13001293,-0.14412981,0.03796552,0.237204,9.9848334,10.2434167,37.63633476,-0.20803498,-0.0299009,-0.17813408
BYDDY,2023-12-11,8.745,-0.02472123,-0.16898952,-0.16422425,0.037956,0.25606125,9.8555001,10.0929167,35.92858399,-0.28544373,-0.08100947,-0.20443426
BYDDY,2023-12-18,8.785,0.00457404,-0.11262626,-0.14431821,0.03829364,0.25265844,9.7073334,9.9631667,36.4886154,-0.3396478,-0.13273713,-0.20691067
BYDDY,2023-12-25,9.211667,0.04856767,0.04460412,-0.08235092,0.04189159,0.2163618,9.5953334,9.89000005,42.28370611,-0.34420864,-0.17503144,-0.16917721
BYDDY,2024-01-01,8.895,-0.03437673,-0.0079926,-0.13360392,0.04153551,0.24330072,9.4523334,9.86600005,39.40956099,-0.36912053,-0.21384925,-0.15527127
BYDDY,2024-01-08,8.98,0.00955593,0.0268725,-0.13082758,0.04166845,0.23606976,9.3131667,9.8345834,40.57714981,-0.37765126,-0.24660965,-0.1310416
BYDDY,2024-01-15,8.425,-0.06180401,-0.04097894,-0.18401937,0.04399076,0.28328371,9.125,9.72225005,35.7349987,-0.42430466,-0.28214866,-0.14215601
BYDDY,2024-01-22,8.213333,-0.02512368,-0.10837713,-0.20809905,0.04357117,0.30129026,8.894,9.61550005,34.06538882,-0.47290621,-0.32030017,-0.15260605
BYDDY,2024-01-29,7.368333,-0.1028815,-0.17163204,-0.28509061,0.04963861,0.37317456,8.6408333,9.46008335,28.36731902,-0.57300251,-0.37084064,-0.20216188
BYDDY,2024-02-05,7.838333,0.06378648,-0.12713441,-0.2551473,0.05463656,0.33319158,8.5428333,9.32883335,34.89084377,-0.60740272,-0.41815305,-0.18924967
BYDDY,2024-02-12,8.116667,0.03550934,-0.03659739,-0.18013465,0.055734,0.30951365,8.4578333,9.22133335,38.46478897,-0.6052292,-0.45556828,-0.14966092
BYDDY,2024-02-19,7.838333,-0.03429166,-0.04565747,-0.11113212,0.04784443,0.33319158,8.3671666,9.11133335,36.3178923,-0.61883238,-0.4882211,-0.13061128
BYDDY,2024-02-26,8.311667,0.06038707,0.12802543,-0.07304832,0.05147232,0.29292497,8.3198333,9.01358335,42.2237535,-0.58467909,-0.5075127,-0.07716639
BYDDY,2024-03-04,7.96,-0.04231004,0.01552205,-0.08976558,0.05232619,0.32284134,8.1946666,8.895,39.30709643,-0.57931101,-0.52187236,-0.05743864
BYDDY,2024-03-11,8.903333,0.11850917,0.09691983,0.01346989,0.06363886,0.24259183,8.1954999,8.82391665,49.40350775,-0.49325177,-0.51614824,0.02289647
BYDDY,2024-03-18,9.075,0.01928121,0.15777168,-0.01483629,0.06227785,0.22798809,8.2049999,8.7590833,51.00094319,-0.40651111,-0.49422082,0.0877097
BYDDY,2024-03-25,8.461667,-0.0675849,0.01804692,-0.04871647,0.06466167,0.28016444,8.2086666,8.6668333,45.47654963,-0.38284615,-0.47194588,0.08909973
