strategy,symbol,signal_date,execution_date,state,base_amount,extra_amount,crash_fund_amount,final_amount,reason_codes,planned_normal,planned_crash,total_planned,unallocated_cash
dca_l2_v2,NVDA,2021-11-15,2021-11-16,normal,10.8,0.0,0.0,10.8,[],,,,
dca_l2_v2,AAPL,2021-11-15,2021-11-16,normal,9.0,0.0,0.0,9.0,[],,,,
dca_l2_v2,ASML,2021-11-15,2021-11-16,normal,6.0,0.0,0.0,6.0,[],,,,
dca_l2_v2,KO,2021-11-15,2021-11-16,normal,3.0,0.0,0.0,3.0,[],,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-11-15,2021-11-16,,,,,,,60.64,0.0,60.64,218.05
dca_l2_v2,BYDDY,2021-11-22,2021-11-23,normal,18.0,0.0,0.0,18.0,[],,,,
dca_l2_v2,MSFT,2021-11-22,2021-11-23,normal,13.2,0.0,0.0,13.2,[],,,,
dca_l2_v2,NVDA,2021-11-22,2021-11-23,normal,10.8,0.0,0.0,10.8,[],,,,
dca_l2_v2,AAPL,2021-11-22,2021-11-23,normal,9.0,0.0,0.0,9.0,[],,,,
dca_l2_v2,ASML,2021-11-22,2021-11-23,small_drawdown,6.0,0.29,0.0,6.29,['EXTRA_DIP_BUY'],,,,
dca_l2_v2,KO,2021-11-22,2021-11-23,normal,3.0,0.0,0.0,3.0,[],,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-11-22,2021-11-23,,,,,,,60.29,0.0,60.29,157.76
dca_l2_v2,BYDDY,2021-11-29,2021-11-30,normal,18.0,0.0,0.0,18.0,"['NORMAL_POOL_BASE_BUDGET_APPLIED', 'NORMAL_POOL_EXTRA_BUDGET_APPLIED']",,,,
dca_l2_v2,MSFT,2021-11-29,2021-11-30,normal,13.2,0.0,0.0,13.2,"['NORMAL_POOL_BASE_BUDGET_APPLIED', 'NORMAL_POOL_EXTRA_BUDGET_APPLIED']",,,,
dca_l2_v2,NVDA,2021-11-29,2021-11-30,normal,10.8,0.0,0.0,10.8,"['NORMAL_POOL_BASE_BUDGET_APPLIED', 'NORMAL_POOL_EXTRA_BUDGET_APPLIED']",,,,
dca_l2_v2,AAPL,2021-11-29,2021-11-30,normal,9.0,0.0,0.0,9.0,"['NORMAL_POOL_BASE_BUDGET_APPLIED', 'NORMAL_POOL_EXTRA_BUDGET_APPLIED']",,,,
dca_l2_v2,ASML,2021-11-29,2021-11-30,small_drawdown,6.0,0.44,0.0,6.44,"['EXTRA_DIP_BUY', 'NORMAL_POOL_BASE_BUDGET_APPLIED', 'NORMAL_POOL_EXTRA_BUDGET_APPLIED']",,,,
dca_l2_v2,KO,2021-11-29,2021-11-30,normal,3.0,0.0,0.0,3.0,"['NORMAL_POOL_BASE_BUDGET_APPLIED', 'NORMAL_POOL_EXTRA_BUDGET_APPLIED']",,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-11-29,2021-11-30,,,,,,,57.77,0.0,57.77,99.99
dca_l2_v2,BYDDY,2021-12-06,2021-12-07,small_drawdown,22.5,2.27,0.0,24.77,['EXTRA_DIP_BUY'],,,,
dca_l2_v2,MSFT,2021-12-06,2021-12-07,normal,16.5,0.0,0.0,16.5,[],,,,
dca_l2_v2,NVDA,2021-12-06,2021-12-07,small_drawdown,13.5,1.69,0.0,15.19,['EXTRA_DIP_BUY'],,,,
dca_l2_v2,AAPL,2021-12-06,2021-12-07,normal,11.25,0.0,0.0,11.25,[],,,,
dca_l2_v2,ASML,2021-12-06,2021-12-07,medium_drawdown,7.5,1.31,0.0,8.81,['EXTRA_DIP_BUY'],,,,
dca_l2_v2,KO,2021-12-06,2021-12-07,normal,3.75,0.0,0.0,3.75,[],,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-12-06,2021-12-07,,,,,,,80.27,0.0,80.27,319.73
dca_l2_v2,BYDDY,2021-12-13,2021-12-14,medium_drawdown,22.5,2.93,0.0,25.43,['EXTRA_DIP_BUY'],,,,
dca_l2_v2,MSFT,2021-12-13,2021-12-14,normal,16.5,0.0,0.0,16.5,[],,,,
dca_l2_v2,NVDA,2021-12-13,2021-12-14,medium_drawdown,13.5,2.63,0.0,16.13,['EXTRA_DIP_BUY'],,,,
dca_l2_v2,AAPL,2021-12-13,2021-12-14,normal,11.25,0.0,0.0,11.25,[],,,,
dca_l2_v2,ASML,2021-12-13,2021-12-14,medium_drawdown,7.5,1.22,0.0,8.72,['EXTRA_DIP_BUY'],,,,
dca_l2_v2,KO,2021-12-13,2021-12-14,normal,3.75,0.0,0.0,3.75,[],,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-12-13,2021-12-14,,,,,,,81.78,0.0,81.78,237.95
dca_l2_v2,BYDDY,2021-12-20,2021-12-21,panic_bear_extreme_volatility,11.25,0.0,0.0,11.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2021-12-20,2021-12-21,panic_bear_extreme_volatility,8.25,0.0,0.0,8.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2021-12-20,2021-12-21,panic_bear_extreme_volatility,6.75,0.0,0.0,6.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2021-12-20,2021-12-21,panic_bear_extreme_volatility,5.63,0.0,0.0,5.63,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2021-12-20,2021-12-21,panic_bear_extreme_volatility,3.75,0.0,0.0,3.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2021-12-20,2021-12-21,panic_bear_extreme_volatility,1.88,0.0,0.0,1.88,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-12-20,2021-12-21,,,,,,,37.51,0.0,37.51,200.44
