task,target,model,importance_type,feature,value
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_AXP,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_BABA,0.0001801966
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_BAC,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_BYDDY,0.0124458802
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_CAT,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_COST,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_DE,0.0003145133
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_GE,0.0011491005
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_GOOGL,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_HD,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_HON,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_INTC,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_JNJ,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_JPM,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_KO,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_MA,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_MCD,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_META,0.0089777621
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_MRK,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_MSFT,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_MU,0.0013717111
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_NKE,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_NVDA,0.1509405538
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_PEP,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_PG,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_QCOM,8.95403e-05
